
country,latitude,longitude,year,ghi_kwh_m2_day,source,ghi_kwh_m2_year
Afghanistan,33.0,65.0,201001,3.02,NASA POWER,1102.3
Afghanistan,33.0,65.0,201002,3.56,NASA POWER,1299.4
Afghanistan,33.0,65.0,201003,5.53,NASA POWER,2018.45
Afghanistan,33.0,65.0,201004,6.33,NASA POWER,2310.45
Afghanistan,33.0,65.0,201005,7.28,NASA POWER,2657.2000000000003
Afghanistan,33.0,65.0,201006,8.41,NASA POWER,3069.65
Afghanistan,33.0,65.0,201007,8.3,NASA POWER,3029.5000000000005
Afghanistan,33.0,65.0,201008,6.75,NASA POWER,2463.75
Afghanistan,33.0,65.0,201009,6.74,NASA POWER,2460.1
Afghanistan,33.0,65.0,201010,5.3,NASA POWER,1934.5
Afghanistan,33.0,65.0,201011,4.38,NASA POWER,1598.7
Afghanistan,33.0,65.0,201012,3.63,NASA POWER,1324.95
Afghanistan,33.0,65.0,201013,5.78,NASA POWER,2109.7000000000003
Afghanistan,33.0,65.0,201101,2.79,NASA POWER,1018.35
Afghanistan,33.0,65.0,201102,2.96,NASA POWER,1080.4
Afghanistan,33.0,65.0,201103,4.97,NASA POWER,1814.05
Afghanistan,33.0,65.0,201104,6.52,NASA POWER,2379.7999999999997
Afghanistan,33.0,65.0,201105,7.57,NASA POWER,2763.05
Afghanistan,33.0,65.0,201106,8.51,NASA POWER,3106.15
Afghanistan,33.0,65.0,201107,8.36,NASA POWER,3051.3999999999996
Afghanistan,33.0,65.0,201108,7.68,NASA POWER,2803.2
Afghanistan,33.0,65.0,201109,6.71,NASA POWER,2449.15
Afghanistan,33.0,65.0,201110,4.95,NASA POWER,1806.75
Afghanistan,33.0,65.0,201111,3.03,NASA POWER,1105.9499999999998
Afghanistan,33.0,65.0,201112,3.52,NASA POWER,1284.8
Afghanistan,33.0,65.0,201113,5.65,NASA POWER,2062.25
Afghanistan,33.0,65.0,201201,3.09,NASA POWER,1127.85
Afghanistan,33.0,65.0,201202,3.77,NASA POWER,1376.05
Afghanistan,33.0,65.0,201203,5.39,NASA POWER,1967.35
Afghanistan,33.0,65.0,201204,6.27,NASA POWER,2288.5499999999997
Afghanistan,33.0,65.0,201205,7.28,NASA POWER,2657.2000000000003
Afghanistan,33.0,65.0,201206,8.24,NASA POWER,3007.6
Afghanistan,33.0,65.0,201207,8.44,NASA POWER,3080.6
Afghanistan,33.0,65.0,201208,7.51,NASA POWER,2741.15
Afghanistan,33.0,65.0,201209,6.66,NASA POWER,2430.9
Afghanistan,33.0,65.0,201210,5.12,NASA POWER,1868.8
Afghanistan,33.0,65.0,201211,3.61,NASA POWER,1317.6499999999999
Afghanistan,33.0,65.0,201212,2.93,NASA POWER,1069.45
Afghanistan,33.0,65.0,201213,5.7,NASA POWER,2080.5
Afghanistan,33.0,65.0,201301,3.13,NASA POWER,1142.45
Afghanistan,33.0,65.0,201302,3.69,NASA POWER,1346.85
Afghanistan,33.0,65.0,201303,5.06,NASA POWER,1846.8999999999999
Afghanistan,33.0,65.0,201304,6.06,NASA POWER,2211.8999999999996
Afghanistan,33.0,65.0,201305,7.66,NASA POWER,2795.9
Afghanistan,33.0,65.0,201306,8.18,NASA POWER,2985.7
Afghanistan,33.0,65.0,201307,8.54,NASA POWER,3117.1
Afghanistan,33.0,65.0,201308,7.42,NASA POWER,2708.3
Afghanistan,33.0,65.0,201309,6.99,NASA POWER,2551.35
Afghanistan,33.0,65.0,201310,5.46,NASA POWER,1992.9
Afghanistan,33.0,65.0,201311,3.42,NASA POWER,1248.3
Afghanistan,33.0,65.0,201312,3.14,NASA POWER,1146.1000000000001
Afghanistan,33.0,65.0,201313,5.74,NASA POWER,2095.1
Afghanistan,33.0,65.0,201401,2.88,NASA POWER,1051.2
Afghanistan,33.0,65.0,201402,3.97,NASA POWER,1449.0500000000002
Afghanistan,33.0,65.0,201403,4.6,NASA POWER,1678.9999999999998
Afghanistan,33.0,65.0,201404,6.05,NASA POWER,2208.25
Afghanistan,33.0,65.0,201405,6.89,NASA POWER,2514.85
Afghanistan,33.0,65.0,201406,8.61,NASA POWER,3142.6499999999996
Afghanistan,33.0,65.0,201407,8.35,NASA POWER,3047.75
Afghanistan,33.0,65.0,201408,7.83,NASA POWER,2857.95
Afghanistan,33.0,65.0,201409,6.81,NASA POWER,2485.6499999999996
Afghanistan,33.0,65.0,201410,5.11,NASA POWER,1865.15
Afghanistan,33.0,65.0,201411,3.69,NASA POWER,1346.85
Afghanistan,33.0,65.0,201412,3.14,NASA POWER,1146.1000000000001
Afghanistan,33.0,65.0,201413,5.67,NASA POWER,2069.55
Afghanistan,33.0,65.0,201501,2.79,NASA POWER,1018.35
Afghanistan,33.0,65.0,201502,3.14,NASA POWER,1146.1000000000001
Afghanistan,33.0,65.0,201503,4.6,NASA POWER,1678.9999999999998
Afghanistan,33.0,65.0,201504,6.48,NASA POWER,2365.2000000000003
Afghanistan,33.0,65.0,201505,7.47,NASA POWER,2726.5499999999997
Afghanistan,33.0,65.0,201506,8.66,NASA POWER,3160.9
Afghanistan,33.0,65.0,201507,7.77,NASA POWER,2836.0499999999997
Afghanistan,33.0,65.0,201508,7.67,NASA POWER,2799.55
Afghanistan,33.0,65.0,201509,6.79,NASA POWER,2478.35
Afghanistan,33.0,65.0,201510,5.12,NASA POWER,1868.8
Afghanistan,33.0,65.0,201511,3.25,NASA POWER,1186.25
Afghanistan,33.0,65.0,201512,2.93,NASA POWER,1069.45
Afghanistan,33.0,65.0,201513,5.57,NASA POWER,2033.0500000000002
Afghanistan,33.0,65.0,201601,3.04,NASA POWER,1109.6
Afghanistan,33.0,65.0,201602,4.83,NASA POWER,1762.95
Afghanistan,33.0,65.0,201603,4.35,NASA POWER,1587.7499999999998
Afghanistan,33.0,65.0,201604,6.31,NASA POWER,2303.1499999999996
Afghanistan,33.0,65.0,201605,7.63,NASA POWER,2784.95
Afghanistan,33.0,65.0,201606,8.43,NASA POWER,3076.95
Afghanistan,33.0,65.0,201607,8.29,NASA POWER,3025.85
Afghanistan,33.0,65.0,201608,7.64,NASA POWER,2788.6
Afghanistan,33.0,65.0,201609,6.84,NASA POWER,2496.6
Afghanistan,33.0,65.0,201610,5.51,NASA POWER,2011.1499999999999
Afghanistan,33.0,65.0,201611,3.65,NASA POWER,1332.25
Afghanistan,33.0,65.0,201612,3.2,NASA POWER,1168.0
Afghanistan,33.0,65.0,201613,5.81,NASA POWER,2120.6499999999996
Afghanistan,33.0,65.0,201701,2.64,NASA POWER,963.6
Afghanistan,33.0,65.0,201702,3.71,NASA POWER,1354.15
Afghanistan,33.0,65.0,201703,4.7,NASA POWER,1715.5
Afghanistan,33.0,65.0,201704,6.99,NASA POWER,2551.35
Afghanistan,33.0,65.0,201705,7.65,NASA POWER,2792.25
Afghanistan,33.0,65.0,201706,8.82,NASA POWER,3219.3
Afghanistan,33.0,65.0,201707,8.3,NASA POWER,3029.5000000000005
Afghanistan,33.0,65.0,201708,7.94,NASA POWER,2898.1000000000004
Afghanistan,33.0,65.0,201709,6.88,NASA POWER,2511.2
Afghanistan,33.0,65.0,201710,5.53,NASA POWER,2018.45
Afghanistan,33.0,65.0,201711,3.63,NASA POWER,1324.95
Afghanistan,33.0,65.0,201712,3.33,NASA POWER,1215.45
Afghanistan,33.0,65.0,201713,5.85,NASA POWER,2135.25
Afghanistan,33.0,65.0,201801,3.45,NASA POWER,1259.25
Afghanistan,33.0,65.0,201802,3.56,NASA POWER,1299.4
Afghanistan,33.0,65.0,201803,4.85,NASA POWER,1770.2499999999998
Afghanistan,33.0,65.0,201804,6.17,NASA POWER,2252.05
Afghanistan,33.0,65.0,201805,7.17,NASA POWER,2617.05
Afghanistan,33.0,65.0,201806,8.78,NASA POWER,3204.7
Afghanistan,33.0,65.0,201807,8.43,NASA POWER,3076.95
Afghanistan,33.0,65.0,201808,8.0,NASA POWER,2920.0
Afghanistan,33.0,65.0,201809,6.86,NASA POWER,2503.9
Afghanistan,33.0,65.0,201810,5.21,NASA POWER,1901.65
Afghanistan,33.0,65.0,201811,3.75,NASA POWER,1368.75
Afghanistan,33.0,65.0,201812,3.47,NASA POWER,1266.5500000000002
Afghanistan,33.0,65.0,201813,5.82,NASA POWER,2124.3
Afghanistan,33.0,65.0,201901,2.94,NASA POWER,1073.1
Afghanistan,33.0,65.0,201902,3.94,NASA POWER,1438.1
Afghanistan,33.0,65.0,201903,4.99,NASA POWER,1821.3500000000001
Afghanistan,33.0,65.0,201904,5.87,NASA POWER,2142.55
Afghanistan,33.0,65.0,201905,7.49,NASA POWER,2733.85
Afghanistan,33.0,65.0,201906,8.8,NASA POWER,3212.0000000000005
Afghanistan,33.0,65.0,201907,8.53,NASA POWER,3113.45
Afghanistan,33.0,65.0,201908,7.7,NASA POWER,2810.5
Afghanistan,33.0,65.0,201909,7.03,NASA POWER,2565.9500000000003
Afghanistan,33.0,65.0,201910,4.95,NASA POWER,1806.75
Afghanistan,33.0,65.0,201911,3.36,NASA POWER,1226.3999999999999
Afghanistan,33.0,65.0,201912,3.1,NASA POWER,1131.5
Afghanistan,33.0,65.0,201913,5.73,NASA POWER,2091.4500000000003
Afghanistan,33.0,65.0,202001,3.02,NASA POWER,1102.3
Afghanistan,33.0,65.0,202002,4.23,NASA POWER,1543.95
Afghanistan,33.0,65.0,202003,4.56,NASA POWER,1664.3999999999999
Afghanistan,33.0,65.0,202004,5.68,NASA POWER,2073.2
Afghanistan,33.0,65.0,202005,7.78,NASA POWER,2839.7000000000003
Afghanistan,33.0,65.0,202006,8.86,NASA POWER,3233.8999999999996
Afghanistan,33.0,65.0,202007,8.38,NASA POWER,3058.7000000000003
Afghanistan,33.0,65.0,202008,7.96,NASA POWER,2905.4
Afghanistan,33.0,65.0,202009,7.01,NASA POWER,2558.65
Afghanistan,33.0,65.0,202010,5.72,NASA POWER,2087.7999999999997
Afghanistan,33.0,65.0,202011,3.5,NASA POWER,1277.5
Afghanistan,33.0,65.0,202012,2.88,NASA POWER,1051.2
Afghanistan,33.0,65.0,202013,5.8,NASA POWER,2117.0
Albania,41.0,20.0,201001,1.35,NASA POWER,492.75000000000006
Albania,41.0,20.0,201002,2.18,NASA POWER,795.7
Albania,41.0,20.0,201003,3.47,NASA POWER,1266.5500000000002
Albania,41.0,20.0,201004,4.4,NASA POWER,1606.0000000000002
Albania,41.0,20.0,201005,5.59,NASA POWER,2040.35
Albania,41.0,20.0,201006,6.24,NASA POWER,2277.6
Albania,41.0,20.0,201007,6.61,NASA POWER,2412.65
Albania,41.0,20.0,201008,6.67,NASA POWER,2434.55
Albania,41.0,20.0,201009,4.29,NASA POWER,1565.85
Albania,41.0,20.0,201010,2.62,NASA POWER,956.3000000000001
Albania,41.0,20.0,201011,1.81,NASA POWER,660.65
Albania,41.0,20.0,201012,1.44,NASA POWER,525.6
Albania,41.0,20.0,201013,3.9,NASA POWER,1423.5
Albania,41.0,20.0,201101,1.85,NASA POWER,675.25
Albania,41.0,20.0,201102,2.6,NASA POWER,949.0
Albania,41.0,20.0,201103,3.6,NASA POWER,1314.0
Albania,41.0,20.0,201104,4.78,NASA POWER,1744.7
Albania,41.0,20.0,201105,5.35,NASA POWER,1952.7499999999998
Albania,41.0,20.0,201106,6.63,NASA POWER,2419.95
Albania,41.0,20.0,201107,6.97,NASA POWER,2544.0499999999997
Albania,41.0,20.0,201108,6.52,NASA POWER,2379.7999999999997
Albania,41.0,20.0,201109,4.85,NASA POWER,1770.2499999999998
Albania,41.0,20.0,201110,3.35,NASA POWER,1222.75
Albania,41.0,20.0,201111,2.45,NASA POWER,894.2500000000001
Albania,41.0,20.0,201112,1.48,NASA POWER,540.2
Albania,41.0,20.0,201113,4.21,NASA POWER,1536.65
Albania,41.0,20.0,201201,1.91,NASA POWER,697.15
Albania,41.0,20.0,201202,2.5,NASA POWER,912.5
Albania,41.0,20.0,201203,4.23,NASA POWER,1543.95
Albania,41.0,20.0,201204,4.14,NASA POWER,1511.1
Albania,41.0,20.0,201205,5.37,NASA POWER,1960.05
Albania,41.0,20.0,201206,8.02,NASA POWER,2927.2999999999997
Albania,41.0,20.0,201207,7.57,NASA POWER,2763.05
Albania,41.0,20.0,201208,6.43,NASA POWER,2346.95
Albania,41.0,20.0,201209,4.74,NASA POWER,1730.1000000000001
Albania,41.0,20.0,201210,3.3,NASA POWER,1204.5
Albania,41.0,20.0,201211,1.95,NASA POWER,711.75
Albania,41.0,20.0,201212,1.38,NASA POWER,503.7
Albania,41.0,20.0,201213,4.3,NASA POWER,1569.5
Albania,41.0,20.0,201301,1.67,NASA POWER,609.55
Albania,41.0,20.0,201302,1.92,NASA POWER,700.8
Albania,41.0,20.0,201303,2.9,NASA POWER,1058.5
Albania,41.0,20.0,201304,5.0,NASA POWER,1825.0
Albania,41.0,20.0,201305,5.44,NASA POWER,1985.6000000000001
Albania,41.0,20.0,201306,6.42,NASA POWER,2343.3
Albania,41.0,20.0,201307,6.79,NASA POWER,2478.35
Albania,41.0,20.0,201308,5.91,NASA POWER,2157.15
Albania,41.0,20.0,201309,4.73,NASA POWER,1726.45
Albania,41.0,20.0,201310,3.5,NASA POWER,1277.5
Albania,41.0,20.0,201311,1.72,NASA POWER,627.8
Albania,41.0,20.0,201312,1.87,NASA POWER,682.5500000000001
Albania,41.0,20.0,201313,4.0,NASA POWER,1460.0
Albania,41.0,20.0,201401,1.69,NASA POWER,616.85
Albania,41.0,20.0,201402,2.59,NASA POWER,945.3499999999999
Albania,41.0,20.0,201403,4.02,NASA POWER,1467.3
Albania,41.0,20.0,201404,3.78,NASA POWER,1379.6999999999998
Albania,41.0,20.0,201405,5.12,NASA POWER,1868.8
Albania,41.0,20.0,201406,6.31,NASA POWER,2303.1499999999996
Albania,41.0,20.0,201407,6.63,NASA POWER,2419.95
Albania,41.0,20.0,201408,6.41,NASA POWER,2339.65
Albania,41.0,20.0,201409,3.92,NASA POWER,1430.8
Albania,41.0,20.0,201410,2.92,NASA POWER,1065.8
Albania,41.0,20.0,201411,1.98,NASA POWER,722.7
Albania,41.0,20.0,201412,1.55,NASA POWER,565.75
Albania,41.0,20.0,201413,3.92,NASA POWER,1430.8
Albania,41.0,20.0,201501,1.89,NASA POWER,689.8499999999999
Albania,41.0,20.0,201502,2.73,NASA POWER,996.45
Albania,41.0,20.0,201503,3.0,NASA POWER,1095.0
Albania,41.0,20.0,201504,4.81,NASA POWER,1755.6499999999999
Albania,41.0,20.0,201505,6.05,NASA POWER,2208.25
Albania,41.0,20.0,201506,6.41,NASA POWER,2339.65
Albania,41.0,20.0,201507,7.32,NASA POWER,2671.8
Albania,41.0,20.0,201508,5.95,NASA POWER,2171.75
Albania,41.0,20.0,201509,4.61,NASA POWER,1682.65
Albania,41.0,20.0,201510,2.82,NASA POWER,1029.3
Albania,41.0,20.0,201511,2.47,NASA POWER,901.5500000000001
Albania,41.0,20.0,201512,2.16,NASA POWER,788.4000000000001
Albania,41.0,20.0,201513,4.19,NASA POWER,1529.3500000000001
Albania,41.0,20.0,201601,1.79,NASA POWER,653.35
Albania,41.0,20.0,201602,2.37,NASA POWER,865.0500000000001
Albania,41.0,20.0,201603,3.35,NASA POWER,1222.75
Albania,41.0,20.0,201604,5.41,NASA POWER,1974.65
Albania,41.0,20.0,201605,5.37,NASA POWER,1960.05
Albania,41.0,20.0,201606,6.52,NASA POWER,2379.7999999999997
Albania,41.0,20.0,201607,6.92,NASA POWER,2525.8
Albania,41.0,20.0,201608,6.24,NASA POWER,2277.6
Albania,41.0,20.0,201609,4.13,NASA POWER,1507.45
Albania,41.0,20.0,201610,2.9,NASA POWER,1058.5
Albania,41.0,20.0,201611,1.86,NASA POWER,678.9000000000001
Albania,41.0,20.0,201612,2.01,NASA POWER,733.65
Albania,41.0,20.0,201613,4.08,NASA POWER,1489.2
Albania,41.0,20.0,201701,1.79,NASA POWER,653.35
Albania,41.0,20.0,201702,2.57,NASA POWER,938.05
Albania,41.0,20.0,201703,4.17,NASA POWER,1522.05
Albania,41.0,20.0,201704,5.08,NASA POWER,1854.2
Albania,41.0,20.0,201705,5.6,NASA POWER,2043.9999999999998
Albania,41.0,20.0,201706,7.02,NASA POWER,2562.2999999999997
Albania,41.0,20.0,201707,7.13,NASA POWER,2602.45
Albania,41.0,20.0,201708,6.56,NASA POWER,2394.3999999999996
Albania,41.0,20.0,201709,4.45,NASA POWER,1624.25
Albania,41.0,20.0,201710,3.74,NASA POWER,1365.1000000000001
Albania,41.0,20.0,201711,1.88,NASA POWER,686.1999999999999
Albania,41.0,20.0,201712,1.49,NASA POWER,543.85
Albania,41.0,20.0,201713,4.3,NASA POWER,1569.5
Albania,41.0,20.0,201801,1.88,NASA POWER,686.1999999999999
Albania,41.0,20.0,201802,1.91,NASA POWER,697.15
Albania,41.0,20.0,201803,2.75,NASA POWER,1003.75
Albania,41.0,20.0,201804,5.57,NASA POWER,2033.0500000000002
Albania,41.0,20.0,201805,5.58,NASA POWER,2036.7
Albania,41.0,20.0,201806,5.66,NASA POWER,2065.9
Albania,41.0,20.0,201807,6.58,NASA POWER,2401.7
Albania,41.0,20.0,201808,5.7,NASA POWER,2080.5
Albania,41.0,20.0,201809,5.3,NASA POWER,1934.5
Albania,41.0,20.0,201810,3.41,NASA POWER,1244.65
Albania,41.0,20.0,201811,2.03,NASA POWER,740.9499999999999
Albania,41.0,20.0,201812,1.64,NASA POWER,598.5999999999999
Albania,41.0,20.0,201813,4.01,NASA POWER,1463.6499999999999
Albania,41.0,20.0,201901,1.56,NASA POWER,569.4
Albania,41.0,20.0,201902,2.92,NASA POWER,1065.8
Albania,41.0,20.0,201903,4.36,NASA POWER,1591.4
Albania,41.0,20.0,201904,4.47,NASA POWER,1631.55
Albania,41.0,20.0,201905,4.61,NASA POWER,1682.65
Albania,41.0,20.0,201906,6.88,NASA POWER,2511.2
Albania,41.0,20.0,201907,6.68,NASA POWER,2438.2
Albania,41.0,20.0,201908,6.6,NASA POWER,2409.0
Albania,41.0,20.0,201909,4.77,NASA POWER,1741.05
Albania,41.0,20.0,201910,3.84,NASA POWER,1401.6
Albania,41.0,20.0,201911,1.58,NASA POWER,576.7
Albania,41.0,20.0,201912,1.54,NASA POWER,562.1
Albania,41.0,20.0,201913,4.16,NASA POWER,1518.4
Albania,41.0,20.0,202001,2.07,NASA POWER,755.55
Albania,41.0,20.0,202002,2.88,NASA POWER,1051.2
Albania,41.0,20.0,202003,3.45,NASA POWER,1259.25
Albania,41.0,20.0,202004,5.19,NASA POWER,1894.3500000000001
Albania,41.0,20.0,202005,5.71,NASA POWER,2084.15
Albania,41.0,20.0,202006,6.19,NASA POWER,2259.3500000000004
Albania,41.0,20.0,202007,7.21,NASA POWER,2631.65
Albania,41.0,20.0,202008,6.11,NASA POWER,2230.15
Albania,41.0,20.0,202009,4.79,NASA POWER,1748.35
Albania,41.0,20.0,202010,3.12,NASA POWER,1138.8
Albania,41.0,20.0,202011,2.55,NASA POWER,930.7499999999999
Albania,41.0,20.0,202012,1.31,NASA POWER,478.15000000000003
Albania,41.0,20.0,202013,4.22,NASA POWER,1540.3
Algeria,28.0,3.0,201001,4.38,NASA POWER,1598.7
Algeria,28.0,3.0,201002,4.9,NASA POWER,1788.5000000000002
Algeria,28.0,3.0,201003,5.74,NASA POWER,2095.1
Algeria,28.0,3.0,201004,6.55,NASA POWER,2390.75
Algeria,28.0,3.0,201005,6.93,NASA POWER,2529.45
Algeria,28.0,3.0,201006,7.26,NASA POWER,2649.9
Algeria,28.0,3.0,201007,7.9,NASA POWER,2883.5
Algeria,28.0,3.0,201008,7.11,NASA POWER,2595.15
Algeria,28.0,3.0,201009,6.27,NASA POWER,2288.5499999999997
Algeria,28.0,3.0,201010,4.99,NASA POWER,1821.3500000000001
Algeria,28.0,3.0,201011,4.54,NASA POWER,1657.1
Algeria,28.0,3.0,201012,3.89,NASA POWER,1419.8500000000001
Algeria,28.0,3.0,201013,5.88,NASA POWER,2146.2
Algeria,28.0,3.0,201101,3.99,NASA POWER,1456.3500000000001
Algeria,28.0,3.0,201102,5.21,NASA POWER,1901.65
Algeria,28.0,3.0,201103,5.58,NASA POWER,2036.7
Algeria,28.0,3.0,201104,6.96,NASA POWER,2540.4
Algeria,28.0,3.0,201105,7.29,NASA POWER,2660.85
Algeria,28.0,3.0,201106,7.96,NASA POWER,2905.4
Algeria,28.0,3.0,201107,7.93,NASA POWER,2894.45
Algeria,28.0,3.0,201108,7.46,NASA POWER,2722.9
Algeria,28.0,3.0,201109,6.35,NASA POWER,2317.75
Algeria,28.0,3.0,201110,5.1,NASA POWER,1861.4999999999998
Algeria,28.0,3.0,201111,4.46,NASA POWER,1627.9
Algeria,28.0,3.0,201112,3.84,NASA POWER,1401.6
Algeria,28.0,3.0,201113,6.01,NASA POWER,2193.65
Algeria,28.0,3.0,201201,3.97,NASA POWER,1449.0500000000002
Algeria,28.0,3.0,201202,5.18,NASA POWER,1890.6999999999998
Algeria,28.0,3.0,201203,5.75,NASA POWER,2098.75
Algeria,28.0,3.0,201204,6.97,NASA POWER,2544.0499999999997
Algeria,28.0,3.0,201205,7.75,NASA POWER,2828.75
Algeria,28.0,3.0,201206,8.01,NASA POWER,2923.65
Algeria,28.0,3.0,201207,7.91,NASA POWER,2887.15
Algeria,28.0,3.0,201208,7.41,NASA POWER,2704.65
Algeria,28.0,3.0,201209,6.29,NASA POWER,2295.85
Algeria,28.0,3.0,201210,5.07,NASA POWER,1850.5500000000002
Algeria,28.0,3.0,201211,4.29,NASA POWER,1565.85
Algeria,28.0,3.0,201212,3.95,NASA POWER,1441.75
Algeria,28.0,3.0,201213,6.05,NASA POWER,2208.25
Algeria,28.0,3.0,201301,4.39,NASA POWER,1602.35
Algeria,28.0,3.0,201302,5.57,NASA POWER,2033.0500000000002
Algeria,28.0,3.0,201303,6.22,NASA POWER,2270.2999999999997
Algeria,28.0,3.0,201304,6.59,NASA POWER,2405.35
Algeria,28.0,3.0,201305,7.28,NASA POWER,2657.2000000000003
Algeria,28.0,3.0,201306,7.67,NASA POWER,2799.55
Algeria,28.0,3.0,201307,7.75,NASA POWER,2828.75
Algeria,28.0,3.0,201308,7.28,NASA POWER,2657.2000000000003
Algeria,28.0,3.0,201309,6.52,NASA POWER,2379.7999999999997
Algeria,28.0,3.0,201310,5.56,NASA POWER,2029.3999999999999
Algeria,28.0,3.0,201311,4.51,NASA POWER,1646.1499999999999
Algeria,28.0,3.0,201312,3.62,NASA POWER,1321.3
Algeria,28.0,3.0,201313,6.08,NASA POWER,2219.2
Algeria,28.0,3.0,201401,4.05,NASA POWER,1478.25
Algeria,28.0,3.0,201402,5.15,NASA POWER,1879.7500000000002
Algeria,28.0,3.0,201403,6.37,NASA POWER,2325.05
Algeria,28.0,3.0,201404,7.26,NASA POWER,2649.9
Algeria,28.0,3.0,201405,7.23,NASA POWER,2638.9500000000003
Algeria,28.0,3.0,201406,7.78,NASA POWER,2839.7000000000003
Algeria,28.0,3.0,201407,7.5,NASA POWER,2737.5
Algeria,28.0,3.0,201408,6.98,NASA POWER,2547.7000000000003
Algeria,28.0,3.0,201409,6.39,NASA POWER,2332.35
Algeria,28.0,3.0,201410,5.44,NASA POWER,1985.6000000000001
Algeria,28.0,3.0,201411,4.13,NASA POWER,1507.45
Algeria,28.0,3.0,201412,4.06,NASA POWER,1481.8999999999999
Algeria,28.0,3.0,201413,6.03,NASA POWER,2200.9500000000003
Algeria,28.0,3.0,201501,4.27,NASA POWER,1558.55
Algeria,28.0,3.0,201502,5.01,NASA POWER,1828.6499999999999
Algeria,28.0,3.0,201503,6.39,NASA POWER,2332.35
Algeria,28.0,3.0,201504,6.99,NASA POWER,2551.35
Algeria,28.0,3.0,201505,7.73,NASA POWER,2821.4500000000003
Algeria,28.0,3.0,201506,7.62,NASA POWER,2781.3
Algeria,28.0,3.0,201507,7.72,NASA POWER,2817.7999999999997
Algeria,28.0,3.0,201508,7.07,NASA POWER,2580.55
Algeria,28.0,3.0,201509,5.62,NASA POWER,2051.3
Algeria,28.0,3.0,201510,5.08,NASA POWER,1854.2
Algeria,28.0,3.0,201511,4.44,NASA POWER,1620.6000000000001
Algeria,28.0,3.0,201512,3.85,NASA POWER,1405.25
Algeria,28.0,3.0,201513,5.99,NASA POWER,2186.35
Algeria,28.0,3.0,201601,4.2,NASA POWER,1533.0
Algeria,28.0,3.0,201602,5.09,NASA POWER,1857.85
Algeria,28.0,3.0,201603,6.49,NASA POWER,2368.85
Algeria,28.0,3.0,201604,7.05,NASA POWER,2573.25
Algeria,28.0,3.0,201605,6.66,NASA POWER,2430.9
Algeria,28.0,3.0,201606,7.53,NASA POWER,2748.4500000000003
Algeria,28.0,3.0,201607,7.82,NASA POWER,2854.3
Algeria,28.0,3.0,201608,7.35,NASA POWER,2682.75
Algeria,28.0,3.0,201609,6.11,NASA POWER,2230.15
Algeria,28.0,3.0,201610,5.21,NASA POWER,1901.65
Algeria,28.0,3.0,201611,4.06,NASA POWER,1481.8999999999999
Algeria,28.0,3.0,201612,3.67,NASA POWER,1339.55
Algeria,28.0,3.0,201613,5.94,NASA POWER,2168.1000000000004
Algeria,28.0,3.0,201701,4.44,NASA POWER,1620.6000000000001
Algeria,28.0,3.0,201702,4.97,NASA POWER,1814.05
Algeria,28.0,3.0,201703,6.02,NASA POWER,2197.2999999999997
Algeria,28.0,3.0,201704,6.89,NASA POWER,2514.85
Algeria,28.0,3.0,201705,6.99,NASA POWER,2551.35
Algeria,28.0,3.0,201706,7.49,NASA POWER,2733.85
Algeria,28.0,3.0,201707,7.54,NASA POWER,2752.1
Algeria,28.0,3.0,201708,7.41,NASA POWER,2704.65
Algeria,28.0,3.0,201709,6.3,NASA POWER,2299.5
Algeria,28.0,3.0,201710,5.46,NASA POWER,1992.9
Algeria,28.0,3.0,201711,4.4,NASA POWER,1606.0000000000002
Algeria,28.0,3.0,201712,3.67,NASA POWER,1339.55
Algeria,28.0,3.0,201713,5.97,NASA POWER,2179.0499999999997
Algeria,28.0,3.0,201801,4.31,NASA POWER,1573.1499999999999
Algeria,28.0,3.0,201802,4.75,NASA POWER,1733.75
Algeria,28.0,3.0,201803,6.33,NASA POWER,2310.45
Algeria,28.0,3.0,201804,6.66,NASA POWER,2430.9
Algeria,28.0,3.0,201805,7.31,NASA POWER,2668.1499999999996
