country,latitude,longitude,year,t2m_celsius,source
Afghanistan,33.0,65.0,201501,2.36,NASA POWER
Afghanistan,33.0,65.0,201502,4.08,NASA POWER
Afghanistan,33.0,65.0,201503,7.09,NASA POWER
Afghanistan,33.0,65.0,201504,14.77,NASA POWER
Afghanistan,33.0,65.0,201505,19.97,NASA POWER
Afghanistan,33.0,65.0,201506,24.43,NASA POWER
Afghanistan,33.0,65.0,201507,27.05,NASA POWER
Afghanistan,33.0,65.0,201508,24.57,NASA POWER
Afghanistan,33.0,65.0,201509,18.93,NASA POWER
Afghanistan,33.0,65.0,201510,15.45,NASA POWER
Afghanistan,33.0,65.0,201511,6.4,NASA POWER
Afghanistan,33.0,65.0,201512,2.72,NASA POWER
Afghanistan,33.0,65.0,201513,14.04,NASA POWER
Afghanistan,33.0,65.0,201601,3.49,NASA POWER
Afghanistan,33.0,65.0,201602,5.52,NASA POWER
Afghanistan,33.0,65.0,201603,9.28,NASA POWER
Afghanistan,33.0,65.0,201604,13.59,NASA POWER
Afghanistan,33.0,65.0,201605,22.14,NASA POWER
Afghanistan,33.0,65.0,201606,25.31,NASA POWER
Afghanistan,33.0,65.0,201607,27.13,NASA POWER
Afghanistan,33.0,65.0,201608,23.85,NASA POWER
Afghanistan,33.0,65.0,201609,21.84,NASA POWER
Afghanistan,33.0,65.0,201610,14.47,NASA POWER
Afghanistan,33.0,65.0,201611,7.61,NASA POWER
Afghanistan,33.0,65.0,201612,6.62,NASA POWER
Afghanistan,33.0,65.0,201613,15.1,NASA POWER
Afghanistan,33.0,65.0,201701,0.78,NASA POWER
Afghanistan,33.0,65.0,201702,2.82,NASA POWER
Afghanistan,33.0,65.0,201703,7.75,NASA POWER
Afghanistan,33.0,65.0,201704,15.63,NASA POWER
Afghanistan,33.0,65.0,201705,22.13,NASA POWER
Afghanistan,33.0,65.0,201706,26.05,NASA POWER
Afghanistan,33.0,65.0,201707,27.16,NASA POWER
Afghanistan,33.0,65.0,201708,24.25,NASA POWER
Afghanistan,33.0,65.0,201709,20.41,NASA POWER
Afghanistan,33.0,65.0,201710,15.97,NASA POWER
Afghanistan,33.0,65.0,201711,8.76,NASA POWER
Afghanistan,33.0,65.0,201712,3.51,NASA POWER
Afghanistan,33.0,65.0,201713,14.66,NASA POWER
Afghanistan,33.0,65.0,201801,3.13,NASA POWER
Afghanistan,33.0,65.0,201802,5.2,NASA POWER
Afghanistan,33.0,65.0,201803,11.87,NASA POWER
Afghanistan,33.0,65.0,201804,16.23,NASA POWER
Afghanistan,33.0,65.0,201805,19.26,NASA POWER
Afghanistan,33.0,65.0,201806,25.31,NASA POWER
Afghanistan,33.0,65.0,201807,27.51,NASA POWER
Afghanistan,33.0,65.0,201808,25.5,NASA POWER
Afghanistan,33.0,65.0,201809,20.09,NASA POWER
Afghanistan,33.0,65.0,201810,13.33,NASA POWER
Afghanistan,33.0,65.0,201811,8.07,NASA POWER
Afghanistan,33.0,65.0,201812,4.15,NASA POWER
Afghanistan,33.0,65.0,201813,15.02,NASA POWER
Afghanistan,33.0,65.0,201901,1.66,NASA POWER
Afghanistan,33.0,65.0,201902,0.38,NASA POWER
Afghanistan,33.0,65.0,201903,6.14,NASA POWER
Afghanistan,33.0,65.0,201904,13.27,NASA POWER
Afghanistan,33.0,65.0,201905,17.73,NASA POWER
Afghanistan,33.0,65.0,201906,22.67,NASA POWER
Afghanistan,33.0,65.0,201907,28.14,NASA POWER
Afghanistan,33.0,65.0,201908,25.54,NASA POWER
Afghanistan,33.0,65.0,201909,22.33,NASA POWER
Afghanistan,33.0,65.0,201910,14.6,NASA POWER
Afghanistan,33.0,65.0,201911,5.12,NASA POWER
Afghanistan,33.0,65.0,201912,3.22,NASA POWER
Afghanistan,33.0,65.0,201913,13.48,NASA POWER
Afghanistan,33.0,65.0,202001,-0.57,NASA POWER
Afghanistan,33.0,65.0,202002,4.56,NASA POWER
Afghanistan,33.0,65.0,202003,6.5,NASA POWER
Afghanistan,33.0,65.0,202004,11.91,NASA POWER
Afghanistan,33.0,65.0,202005,17.19,NASA POWER
Afghanistan,33.0,65.0,202006,22.67,NASA POWER
Afghanistan,33.0,65.0,202007,26.19,NASA POWER
Afghanistan,33.0,65.0,202008,25.71,NASA POWER
Afghanistan,33.0,65.0,202009,19.14,NASA POWER
Afghanistan,33.0,65.0,202010,12.67,NASA POWER
Afghanistan,33.0,65.0,202011,6.25,NASA POWER
Afghanistan,33.0,65.0,202012,-1.21,NASA POWER
Afghanistan,33.0,65.0,202013,12.6,NASA POWER
Afghanistan,33.0,65.0,202101,0.18,NASA POWER
Afghanistan,33.0,65.0,202102,5.69,NASA POWER
Afghanistan,33.0,65.0,202103,9.24,NASA POWER
Afghanistan,33.0,65.0,202104,14.29,NASA POWER
Afghanistan,33.0,65.0,202105,19.44,NASA POWER
Afghanistan,33.0,65.0,202106,25.26,NASA POWER
Afghanistan,33.0,65.0,202107,27.71,NASA POWER
Afghanistan,33.0,65.0,202108,24.37,NASA POWER
Afghanistan,33.0,65.0,202109,20.33,NASA POWER
Afghanistan,33.0,65.0,202110,13.92,NASA POWER
Afghanistan,33.0,65.0,202111,7.13,NASA POWER
Afghanistan,33.0,65.0,202112,3.47,NASA POWER
Afghanistan,33.0,65.0,202113,14.3,NASA POWER
Afghanistan,33.0,65.0,202201,0.03,NASA POWER
Afghanistan,33.0,65.0,202202,3.57,NASA POWER
Afghanistan,33.0,65.0,202203,11.16,NASA POWER
Afghanistan,33.0,65.0,202204,16.81,NASA POWER
Afghanistan,33.0,65.0,202205,21.2,NASA POWER
Afghanistan,33.0,65.0,202206,24.2,NASA POWER
Afghanistan,33.0,65.0,202207,26.91,NASA POWER
Afghanistan,33.0,65.0,202208,24.22,NASA POWER
Afghanistan,33.0,65.0,202209,20.04,NASA POWER
Afghanistan,33.0,65.0,202210,14.64,NASA POWER
Afghanistan,33.0,65.0,202211,8.38,NASA POWER
Afghanistan,33.0,65.0,202212,3.03,NASA POWER
Afghanistan,33.0,65.0,202213,14.57,NASA POWER
Afghanistan,33.0,65.0,202301,-1.74,NASA POWER
Afghanistan,33.0,65.0,202302,4.5,NASA POWER
Afghanistan,33.0,65.0,202303,8.95,NASA POWER
Afghanistan,33.0,65.0,202304,13.38,NASA POWER
Afghanistan,33.0,65.0,202305,17.42,NASA POWER
