country,latitude,longitude,year,ghi_kwh_m2_day,source,ghi_kwh_m2_year
Afghanistan,33.0,65.0,201501,116.27,NASA POWER,42438.549999999996
Afghanistan,33.0,65.0,201502,130.89,NASA POWER,47774.85
Afghanistan,33.0,65.0,201503,191.79,NASA POWER,70003.34999999999
Afghanistan,33.0,65.0,201504,270.04,NASA POWER,98564.6
Afghanistan,33.0,65.0,201505,311.34,NASA POWER,113639.09999999999
Afghanistan,33.0,65.0,201506,361.01,NASA POWER,131768.65
Afghanistan,33.0,65.0,201507,323.77,NASA POWER,118176.04999999999
Afghanistan,33.0,65.0,201508,319.56,NASA POWER,116639.4
Afghanistan,33.0,65.0,201509,283.11,NASA POWER,103335.15000000001
Afghanistan,33.0,65.0,201510,213.3,NASA POWER,77854.5
Afghanistan,33.0,65.0,201511,135.51,NASA POWER,49461.149999999994
Afghanistan,33.0,65.0,201512,122.1,NASA POWER,44566.5
Afghanistan,33.0,65.0,201513,232.05,NASA POWER,84698.25
Afghanistan,33.0,65.0,201601,126.56,NASA POWER,46194.4
Afghanistan,33.0,65.0,201602,201.44,NASA POWER,73525.6
Afghanistan,33.0,65.0,201603,181.25,NASA POWER,66156.25
Afghanistan,33.0,65.0,201604,262.89,NASA POWER,95954.84999999999
Afghanistan,33.0,65.0,201605,317.77,NASA POWER,115986.04999999999
Afghanistan,33.0,65.0,201606,351.28,NASA POWER,128217.2
Afghanistan,33.0,65.0,201607,345.21,NASA POWER,126001.65
Afghanistan,33.0,65.0,201608,318.34,NASA POWER,116194.09999999999
Afghanistan,33.0,65.0,201609,284.82,NASA POWER,103959.3
Afghanistan,33.0,65.0,201610,229.44,NASA POWER,83745.6
Afghanistan,33.0,65.0,201611,152.23,NASA POWER,55563.95
Afghanistan,33.0,65.0,201612,133.52,NASA POWER,48734.8
Afghanistan,33.0,65.0,201613,242.06,NASA POWER,88351.9
Afghanistan,33.0,65.0,201701,109.98,NASA POWER,40142.700000000004
Afghanistan,33.0,65.0,201702,154.61,NASA POWER,56432.65
Afghanistan,33.0,65.0,201703,195.71,NASA POWER,71434.15000000001
Afghanistan,33.0,65.0,201704,291.24,NASA POWER,106302.6
Afghanistan,33.0,65.0,201705,318.56,NASA POWER,116274.4
Afghanistan,33.0,65.0,201706,367.65,NASA POWER,134192.25
Afghanistan,33.0,65.0,201707,346.0,NASA POWER,126290.0
Afghanistan,33.0,65.0,201708,331.04,NASA POWER,120829.6
Afghanistan,33.0,65.0,201709,286.78,NASA POWER,104674.7
Afghanistan,33.0,65.0,201710,230.54,NASA POWER,84147.09999999999
Afghanistan,33.0,65.0,201711,151.05,NASA POWER,55133.25000000001
Afghanistan,33.0,65.0,201712,138.92,NASA POWER,50705.799999999996
Afghanistan,33.0,65.0,201713,243.9,NASA POWER,89023.5
Afghanistan,33.0,65.0,201801,143.95,NASA POWER,52541.74999999999
Afghanistan,33.0,65.0,201802,148.24,NASA POWER,54107.600000000006
Afghanistan,33.0,65.0,201803,202.07,NASA POWER,73755.55
Afghanistan,33.0,65.0,201804,257.19,NASA POWER,93874.35
Afghanistan,33.0,65.0,201805,298.87,NASA POWER,109087.55
Afghanistan,33.0,65.0,201806,365.93,NASA POWER,133564.45
Afghanistan,33.0,65.0,201807,351.06,NASA POWER,128136.9
Afghanistan,33.0,65.0,201808,333.39,NASA POWER,121687.34999999999
Afghanistan,33.0,65.0,201809,285.96,NASA POWER,104375.4
Afghanistan,33.0,65.0,201810,216.93,NASA POWER,79179.45
Afghanistan,33.0,65.0,201811,156.16,NASA POWER,56998.4
Afghanistan,33.0,65.0,201812,144.63,NASA POWER,52789.95
Afghanistan,33.0,65.0,201813,242.54,NASA POWER,88527.09999999999
Afghanistan,33.0,65.0,201901,122.34,NASA POWER,44654.1
Afghanistan,33.0,65.0,201902,164.05,NASA POWER,59878.25000000001
